2025-02-25 12:15:14,197 - Main - INFO - Старт стратегии
2025-02-25 12:15:14,199 - Main - DEBUG - Загруженные параметры стратегии: {'commission_rate': 0.000166, 'k': 0.6, 'stop1_range': 0.5, 'stop2_range': 0.3, 'big_move_threshold': 0.025, 'min_range': 0.01, 'exclude_weekends': True, 'wait_hours': 1, 'tf_min': 1, 'amount': 0.98, 'test': True}
2025-02-25 12:15:14,199 - asyncio - DEBUG - Using selector: KqueueSelector
2025-02-25 12:15:31,797 - SingleTFBreakoutStrategy - INFO - _init_new_day: day=2025-01-03, open=103.18
2025-02-25 12:15:31,797 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 09:59:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,797 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:00:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,798 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:01:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,798 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:02:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,798 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:03:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,799 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:04:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,799 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:05:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,799 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:06:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,799 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:07:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,800 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:08:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,800 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:09:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,800 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:10:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,801 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:11:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,801 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:12:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,801 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:13:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,801 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:14:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,802 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:15:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,802 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:16:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,802 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:17:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,803 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:18:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
